Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
"",Alcohol,,,,,,,387.0,9.73,,3767.0,0.0,0.0,121.0,3767.0,251.27,0.0,0.0
"",Alcohol,Druthers Cocktails,,,,,,50.0,14.28,,714.0,0.0,0.0,32.0,714.0,47.11,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Smoked Maple Old Fashion,,,Liquor,[],3.0,18.00,18.00,54.0,0.0,0.0,0.0,54.0,3.78,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Blood Orange Margarita,,,Liquor,[],9.0,15.56,15.00,140.0,0.0,0.0,0.0,140.0,9.8,0.0,0.0
modifier,Alcohol,Druthers Cocktails,Blood Orange Margarita,,SALT,,[],5.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Druthers Cocktails,Blood Orange Margarita,,Ignite Tequila,,[],4.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Druthers Cocktails,Blood Orange Margarita,,Espolon Tequila,,[],5.0,1.00,1.00,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Apple Spiced Mule,,,Liquor,[],8.0,15.00,15.00,120.0,0.0,0.0,0.0,120.0,8.4,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Peartini,,,Liquor,[],5.0,14.40,14.00,72.0,0.0,0.0,32.0,72.0,5.04,0.0,0.0
modifier,Alcohol,Druthers Cocktails,Peartini,,"!!! DONT MAKE !!!",,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Druthers Cocktails,Peartini,,Western Son Vodka,,[],4.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Druthers Cocktails,Peartini,,Titos Vodka,,[],1.0,2.00,2.00,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Aperol Spritz,,,Liquor,[],1.0,16.00,16.00,16.0,0.0,0.0,0.0,16.0,1.12,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Peanut Butter Espresso Martini,,,Liquor,[],3.0,15.00,15.00,45.0,0.0,0.0,0.0,45.0,3.15,0.0,0.0
