Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
"",Alcohol,,,,,,,5278.0,8.90,,46948.5,82.9,0.0,919.5,46865.6,2951.21,0.0,0.0
"",Alcohol,Druthers Cocktails,,,,,,549.0,12.83,,7045.0,12.0,0.0,42.0,7033.0,474.46,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Ginger Pomegranate Paloma,,,Liquor,[],69.0,14.80,14.80,1021.0,0.0,0.0,0.0,1021.0,67.55,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Ginger Pomegranate Paloma,,Less Sweet If U Can,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Ginger Pomegranate Paloma,,Sub Vodka,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Strawberry Grapefruit Breeze,,,Liquor,[],30.0,14.67,14.67,440.0,0.0,0.0,0.0,440.0,30.8,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Druthers Bloody Mary,,,Liquor,[],18.0,12.00,12.00,216.0,0.0,0.0,12.0,216.0,12.6,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Druthers Bloody Mary,,No Extra Spice,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Cool as a Cuke,,,Liquor,[],39.0,13.59,13.59,530.0,12.0,0.0,0.0,518.0,31.36,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Cool as a Cuke,,As Close As You Can,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,A Fool's Blueberry Tea,,,Liquor,[],80.0,13.85,13.85,1108.0,0.0,0.0,0.0,1108.0,74.62,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,A Fool's Blueberry Tea,,No Ice Tea,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,A Fool's Blueberry Tea,,No Lemonaade,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Strawberry Basil Margarita,,,Liquor,[],119.0,14.71,14.71,1751.0,0.0,0.0,15.0,1751.0,122.57,0.0,0.0
modifier,Alcohol,Druthers Cocktails,Strawberry Basil Margarita,,SALT,,[],6.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Druthers Cocktails,Strawberry Basil Margarita,,SUGAR,,[],8.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Strawberry Basil Margarita,,No Simple,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Strawberry Basil Margarita,,Sub Casamigos,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Espresso Martini,,,Liquor,[],37.0,12.95,12.95,479.0,0.0,0.0,0.0,479.0,31.71,0.0,0.0
