Product,Vendor Item Name,Category,Item Code,Packaging,Price,Qty,Line Price
"Ice Cream, Vanilla",ICE Cream Vanilla,Dairy,842429,Case/1/3GAL,45.95,1,45.95
"8"" Bamboo Skewers - 999654","8"" Bamboo Skewers",Kitchen supplies,999654,Case/20/1000EA,85.66,1,85.66
"Oil, Blend 90/10",Oil Blended 90/10 Canola Pomace,Grocery and Dry Goods,350620,Case/6/1GAL,75.97,1,75.97
Dishwasher (5 Gal) Uni-San (Yellow),Sanitizer Lo Temp Machine,Cleaning Supplies,770927,Case/1/5GAL,76.98,1,76.98
Mayonnaise,Mayonnaise Extra Heavy,Grocery and Dry Goods,310441,Case/4/1GAL,63.46,1,63.46
"Cranberries, Dried",Cranberries Choice Dried,Grocery and Dry Goods,563008,Case/1/10LB,39.89,1,39.89
Liner Black 40X46 2.5ML,Liner Black 40X46 2.5ML,Kitchen supplies,754504,Case/1/100EA,39.87,1,39.87
"Ketchup, Packets",Ketchup,Grocery and Dry Goods,301003,Case/1000/9GM,29.51,1,29.51
"Pizza Box 12"" Druthers","Pizza Box 12"" Druthers",To-go supplies,671806,Case/50EA,29.89,1,29.89
"Milk, Whole",Milk Whole,Dairy,60401,LB,5.61,4,22.44
"Cheese, American Sliced",Cheese American White 120 Sl,Dairy,33050,Case/4/5LB,67.6,1,67.6
Sour Cream,Sour Cream 5LB,Dairy,189964,Case/4/5LB,39.57,1,39.57
"Cheese, Cotija",Cheese Grated Cotija Polvo,Dairy,30235,LB,10.44,12,125.28
"Juice, Orange",Juice Orange,Soda and coffee,256462,Case/6/64OZ Btl,24.99,1,24.99
"Cheese, Cheddar Shredded",Cheese Cheddar Shredded,Dairy,33703,Case/4/5LB,73.4,1,73.4
"Cheese, Cheddar Sliced",Facheese Cheddar Mild Sliced,Dairy,234444,Case/6/1.5LB,35.82,1,35.82
"Cheese, Stracciatella",Stracciatella Cheese,Dairy,30320,Case/6/1LB,49.31,1,49.31
"Ice Cream Mix, Vanilla",Ice Cream Mix Vanilla,Milkshake expense,61333,Case/2/2.5GAL,74.98,1,74.98
Coleslaw Mix,Coleslaw Mix Shred Ams,Produce,109034,Case/4/5LB,27.31,1,27.31
"Lettuce, Romaine Hearts",Romaine Hearts Fresh,Produce,109120,Case/12/3EA,54.77,1,54.77
"Kale, Baby",Kale Baby Amst,Produce,109095,Case/3LB,21.73,2,43.46
Oranges (Naval 6ct),Oranges Navel 6Ct,Produce,102092,Case/1/6EA,9.78,1,9.78
"Lettuce, Spring Mix",Lettuce Spring Mix Ams,Produce,109121,Case/3LB,14.49,4,57.96
"Limes, Fresh",Limes Ams,Produce,109122,Case/54/1EA,33.56,1,33.56
"Onions, Red",Onion Red Jumbo,Produce,109148,Case/25LB,47.87,1,47.87
"Bread, Baguette",Bread Baguette Demi Italian,Bread,965163,Case/30/8OZ,50.19,1,50.19
French Fries 3/8 Super Crunch,Fries 3/8 Super Crunch,Food Purchases,700706,Case/4/5.51LB,39.98,8,319.84
"Pretzel, Soft",Pretzel Stick Bavarian,Grocery and Dry Goods,932914,Case/72/2.4OZ,36.97,4,147.88
Bun Gourmet Shine,Bun Gourmet Shine,Bread,932774,Case/60EA,30.98,4,123.92
Bacon,"Bacon Topping 1/2"" Cooked",Meat,400300,Case/2/5LB,100.24,2,200.48
Taxes/PST,,,,,,,16.27
"Sauce, Hot Nashville",Sauce hot Nashville,Grocery and Dry Goods,161000,Case/4/64OZ,66.78,1,66.78
"Peppers, Hot Chopped Spread",Pepper Hot Chopped Spread,Grocery and Dry Goods,391221,Case/4/1GAL,74.29,1,74.29
Artichoke Hearts,Artichoke Hearts Quartered,Grocery and Dry Goods,530603,Case/6/3KG,65.34,1,65.34
Dishwasher (5 Gal) Uni-Dry (Blue),Rinse Dry Machine,Cleaning Supplies,770928,Case/1/5GAL,132.87,1,132.87
"Chips, Tortilla",Chips Tortillla,Grocery and Dry Goods,936998,Case/6/2LB,50.37,2,100.74
Glove Large Latex Powder,Glove Latex Large  Powder,Gloves,721016,Case/10/100EA,37.87,1,37.87
"Dressing Mix, Ranch",Mix Dressing Ranch,Grocery and Dry Goods,161202,Case/20/3.35EA,59.15,1,59.15
"Cheese, Gorgonzola Crumbles",Cheese Gorgonzola Crumble,Dairy,30217,LB,5.88,20,117.6
"Pickles, Dill Chips",Pickle Dill Freedom Chip,Grocery and Dry Goods,392006,Case/1/5GAL,31.89,1,31.89
"Beef, Ground",GR BEEF BUTCHERS BLEND 80/20,Meat,10451,LB,4.55,160,728
Eggs,Eggs Large Loose Aa,Dairy,53005,LB,6.08,15,91.2
Coleslaw Mix,Coleslaw Mix Shred Ams,Produce,109034,Case/4/5LB,27.31,1,27.31
"Lettuce, Romaine Hearts",Romaine Hearts Fresh,Produce,109120,Case/12/3EA,54.77,1,54.77
"Lettuce, Iceberg",Lettuce Iceberg Cello24CT Ams,Produce,109105,Case/24EA,54.98,1,54.98
"Apples, Granny Smith",Apple Granny Smith AMS,Produce,109002,Case/100EA,51.51,1,51.51
"Kale, Baby",Kale Baby Amst,Produce,109095,Case/3LB,21.84,1,21.84
"Lettuce, Spring Mix",Lettuce Spring Mix Ams,Produce,109121,Case/3LB,14.49,8,115.92
"Cucumbers, Fresh",Cucumber Hot House Ams,Produce,109068,Case/1/12EA,32.39,1,32.39
"Limes, Fresh",Limes Ams,Produce,109122,Case/54/1EA,33.56,3,100.68
"Grapes, Red",Grapes Red Ams,Produce,109082,Case/8/2LB,67.98,1,67.98
