Product,Item Code,Sold,Ordered,Difference,Inventory Price
"6"" tortilla shells",940113,4.521,3.0,-1.521,$-83.62
51/49 evoo,350649,0.133,0,-0.133,$-14.95
90/10 canola oil,350713,1.319,0,-1.319,$-95.97
american cheese,33050,2.067,3.0,0.933,$60.27
a.p. flour,205003,0.564,1.0,0.436,$9.2
a.p. mayo,310441,0.578,1.0,0.422,$25.31
apple cider vinegar,550402,0.52,0,-0.52,$-9.19
artichoke hearts,530603,0.559,1.0,0.441,$28.81
arugala,109009,1.99,4.0,2.01,$43.96
baby kale,109095,6.625,9.0,2.375,$61.46
baguettes,965163,1.022,2.0,0.978,$41.95
balsamic glaze,400682,0.333,0,-0.333,$-13.15
balsamic vinegar,181281,0.266,0,-0.266,$-9.3
basil pesto,940201,1.717,1.0,-0.717,$-74.25
"black pepper, ground",481304,0.071,0,-0.071,$-9.58
buffalo sauce,160518,0.844,1.0,0.156,$12.32
burger buns,932774,20.9,23.0,2.1,$69.26
burger meat,10451,12.064,16.0,3.936,$383.37
butter,13602,1.013,0,-1.013,$-141.13
buttermilk,61613,0.784,0,-0.784,$-17.22
celery seed,481244,0.333,0,-0.333,$-35.12
cherry peppers,390421,0.039,0,-0.039,$-3.0
chickpeas,520660,0.215,0,-0.215,$-7.26
chocolate chip cookie dough,995470,1.125,1.0,-0.125,$-9.87
chopped bacon,400300,2.538,5.0,2.462,$242.97
coleslaw mix,109034,4.519,3.0,-1.519,$-38.26
cotija cheese,30626,0.805,1.0,0.195,$20.17
cucumbers,109068,1.775,1.0,-0.775,$-11.66
dill pickles,392006,2.765,2.0,-0.765,$-24.4
dried cranberries,563008,0.831,1.0,0.169,$6.76
eggs,53005,0.4,1.0,0.6,$52.73
feta,33509,0.444,2.0,1.556,$77.49
flatbread (12x12),12063,3.86,5.0,1.14,$69.49
flourless chocolate cake,881512,0.643,1.0,0.357,$11.64
french fries,700706,30.31,42.0,11.69,$431.01
french's mustard,324809,0.048,0,-0.048,$-1.43
fried chicken breast,410575,9.089,8.0,-1.089,$-43.33
frozen haddock,960051,4.37,5.0,0.63,$54.04
frozen wings,410222,21.78,25.0,3.22,$120.72
garlic powder,481232,0.118,0,-0.118,$-12.96
gf bread,960678,0.028,0,-0.028,$-1.51
gf buns,932281,0.833,1.0,0.167,$6.52
goat cheese,30262,1.844,1.0,-0.844,$-37.96
gorgonzola crumbles,30217,1.247,1.0,-0.247,$-29.54
granny smith apples,109002,0.749,1.0,0.251,$18.12
grapes,109082,0.949,1.0,0.051,$2.85
grated parm,31323,0.014,0,-0.014,$-1.89
gruyere,30233,1.125,1.073846153846154,-0.051,$-5.91
hot honey,160577,0.021,0,-0.021,$-1.26
iceberg,109105,1.406,2.0,0.594,$32.66
kalamata olives,363015,1.664,2.0,0.336,$43.67
korean bbq,161517,0.445,1.0,0.555,$38.28
kosher salt,433602,0.67,0,-0.67,$-40.8
lemons,109102,0.143,1.0,0.857,$47.12
